,question,cluster
416,"if a genetic shift is responsible for pandemics , then why was the swine flu ( h1n1 ) in 2009 a pandemic ?
",8
417,"how many free surfaces are there when a needle floats on liquid at rest ?
",4
418,"why makes a concave or convex shape in capillary ?
",6
419,"they how could this `` surface tension '' be parallel to the surface when its origin is due to downward forces ?
",4
420,"for the alkyl halide example ( starting at 8:17 ) , why would n't that undergo an sn1 reaction ?
",6
421,"where did the h+ come from at 12:30 ?
",2
422,"is a mathematical formula necessary in the scientific method ?
",3
423,"does the ocean conveyor belt affect the temperature of the salt water that then has an impact on freezing the water to make ice ?
",4
424,"does n't the freezing of pond depends on the area ?
",9
425,"how dose the salt in the ocean lower the freezing point ?
",4
426,"but why does the salt lower the freezing point ?
",0
427,"how long does it take for the whole pond to freeze and for how long will it stay frozen ?
",9
428,"why does the salt keep the water from freezing ?
",4
429,"would n't hypertonic fluids have this advantage of pulling those fluids from extracellular space to vascular bed , thus improving oxygenation , apart from just hypovolemia treatment ?
",6
430,"if the salicylic acid was treated with h2so4 but no methanol would the formation of a ring ( similar to the lactone reaction ) be possible ?
",6
431,"hi , how would you view the pictures you take with the camera mounted to bit-zee ?
",1
432,"what are key parts to the robot ?
",1
433,"what are the principles of spider robot science kit ?
",1
434,"@ 1:09 , what is the spelling of that item ?
",6
435,"i mean in the end of the theory sal tells us there is a free proton left and this will bind to the oh- anyway , right ?
",9
436,"why does the name of the 1st molecule have 2 before the ene ?
",2
437,"what 's the name of the final product of the addition ?
",1
438,"would the rate determining step of this reaction be the first step of pi bond attacking hydronium ?
",3
439,"also , if a molecule has more hydrogens , it is more stable than those with less right ?
",4
440,"at 8:31 , shouldn '' t sal have put a positive charge on the oxygen atom ?
",4
441,"how does htn cause a headache ?
",8
442,"what does hypertension do to the blood vassals and the body ?
",8
443,"i thought arteriosclerosis was the buildup of plaque in the arteries..does the term include both plaque buildup and he hardening/stiffening of arteries ?
",8
444,"does arteriosclerosis happens in small vessels first or in the bigger vessels first ?
",4
445,"but if you search it up at science websites , and many other places such as google and bing , they say there is a 4th state of matter ( plasma ) .so is plasma really a state of matter ?
",9
446,"question : during say the transition from ice to water , does the ice become `` soft '' or `` pliable '' for that short period after the polar bonds are `` technically broken '' and broken enough to make liquid ?
",9
447,"can water become a plasma ?
",4
448,"2 ] why the same element carbon is '' transparent in color in diamond , '' and ''black in color in graphite '' ?
",4
449,"so can we say that , in changing between a liquid and gas , that the water molecules have enough energy to overcome the force of gravity ?
",4
450,"what kind of state is fire ?
",9
451,"what is a bose-einstein condensate ?
",6
452,"what is polar and non-polar molecules ?
",4
453,"how can oh can be ions when oxygen can form covalent compound between two hydrogen atoms ?
",4
454,"how would the molecules attract each other ?
",4
455,"what about dry ice does that change the temperture too ?
",9
456,"when the water frozes , what actually takes the energy of the water molecules ?
",4
457,"does during change of states electrons get excited too ?
",4
458,"if technically possible , what would a 0 k `` solid '' /be condensate be called ?
",2
459,"what state of matter is toothpaste in ?
",9
460,"is cream is an one of the state of matter ?
",9
461,"how many states of matter are there ?
",9
462,"what 's the fourth state of matter and how high does the temperature have to be to reach it ?
",0
463,"you say the ice melts in that period , so why dosent the bar go up very slightly ?
",9
464,"what 's the difference between enthalpy , heat and temperature ?
",4
465,"are there only three states of matter ?
",9
466,"how can you add heath without raising tempeture ?
",0
467,"because the heat in the vacuum is very high heat so ice particles ( due to the high heat ) moves faster as the particles movement in gas , after that it changes directly to gas again due to the high heat : ) does that make sense ?
",4
468,"what happens when the steam gets hotter and hotter ?
",4
469,"would atm be equivalent to heat ?
",4
470,"in a compound like water will the oxygen always have a partial negative ?
",4
471,"do hydrogen bonding and dipole forces play role in the anomalous behavior of water ?
",4
472,"why does liquid change to steam ?
",4
473,"does anyone know what the process is called when bec changes to solid , and when solid changes into bec ?
",9
474,"if solids are supposed to be denser than the liquids of the same substance , how come ice floats on water ?
",4
475,"what are the various gas laws ?
",0
476,"what is the nature of heat such that it imparts additional momentum to molecules ?
",4
477,"when a solid changes to a liquid , does its mass change ?
",4
478,"what does the heat of fusion mean in the video ?
",4
479,"what state of matter is slime ?
",9
480,"is n't matter made up of solid liquid , gas , and plasma ?
",4
481,"why do cells want to carry out processes to stay alive ?
",9
482,"is skeletal muscle the only thing responsible for conscious motor movement ?
",9
483,"why is conscious so hard to define ?
",9
484,"why does this video begin the mechanism from the double bond on the carboxylic acid , while in the previous video titled `` acid chloride formation '' the electrons from the oh acted to attack the socl2 ?
",4
485,"why does salt water boil slower ?
",4
486,"given the partial positive charge on both hydrogen atoms in the water molecule would n't it makes sense for them repel each other and end with more energy efficient configuration of straight line bond configuration rather than v-shape which would have both of them bunched together ?
",4
487,"at 4:10 , does that mean in conditions without gravity water would fill the straw completely , because there are no forces that can stop this process ?
",9
488,"what would life be like without water ?
",9
489,"what would happen if there was two oxygen and one hydrogen ?
",4
490,"could we measure the power of the force of adhesion/cohesion in newtons ?
",4
